Lead Actuator Force ,Lead Actuator Displacment 
kN,mm
0.02,0.00
0.01,0.00
0.02,0.00
0.02,0.00
0.28,0.02
0.42,0.06
0.59,0.08
0.72,0.10
0.87,0.12
0.98,0.14
1.12,0.17
1.25,0.19
1.36,0.21
1.50,0.23
1.61,0.26
1.75,0.27
1.86,0.30
2.00,0.32
2.11,0.35
2.23,0.37
2.36,0.39
2.47,0.41
2.59,0.44
2.69,0.45
2.82,0.48
2.92,0.50
3.03,0.53
3.13,0.54
3.24,0.57
3.35,0.59
3.46,0.61
3.57,0.64
3.66,0.66
3.78,0.68
3.87,0.70
3.99,0.72
4.08,0.74
4.19,0.77
4.28,0.79
4.39,0.81
4.48,0.84
4.58,0.86
4.67,0.88
4.76,0.90
4.85,0.93
4.94,0.94
5.03,0.97
5.14,0.99
5.24,1.01
5.34,1.03
5.44,1.06
5.54,1.08
5.63,1.10
5.73,1.12
5.82,1.14
5.91,1.17
6.01,1.19
6.09,1.21
6.19,1.24
6.28,1.25
6.37,1.28
6.47,1.30
6.56,1.32
6.65,1.35
6.75,1.37
6.84,1.39
6.93,1.42
7.02,1.44
7.10,1.46
7.19,1.48
7.27,1.50
7.36,1.53
7.45,1.55
7.53,1.57
7.62,1.59
7.70,1.62
7.78,1.64
7.86,1.66
7.95,1.68
8.03,1.71
8.12,1.73
8.20,1.75
8.28,1.77
8.35,1.79
8.44,1.81
8.51,1.84
8.58,1.86
8.66,1.88
8.73,1.90
8.81,1.93
8.88,1.95
8.95,1.97
9.02,2.00
9.08,2.02
9.14,2.04
9.21,2.06
9.27,2.08
9.33,2.11
9.39,2.13
9.45,2.15
9.51,2.17
9.56,2.19
9.62,2.22
9.67,2.24
9.72,2.26
9.78,2.28
9.83,2.31
9.88,2.33
9.94,2.35
9.99,2.37
10.04,2.40
10.10,2.42
10.15,2.44
10.20,2.46
10.25,2.49
10.30,2.51
10.35,2.53
10.40,2.55
10.44,2.57
10.49,2.60
10.55,2.62
10.59,2.64
10.63,2.67
10.68,2.68
10.73,2.71
10.77,2.73
10.82,2.75
10.86,2.78
10.91,2.80
10.96,2.82
11.00,2.84
11.04,2.86
11.09,2.89
11.14,2.91
11.18,2.93
11.22,2.95
